ingredients_text,ingredientes_identificados,num_ingredientes
"INGREDIENTS LIST:Chicken Breast Fillet (60%), Barbecue Sauce (25%), Smoked Dry Cure Streaky Bacon (6%), Cheddar Cheese (Milk), Red Leicester Cheese (with Colour: Annatto) (Milk), Potato Starch.Barbecue Sauce contains: Water, Sugar, Tomato Pur̩e, White Wine Vinegar, Cornflour, Molasses, Salt, Onion,SoyaBean, Spirit Vinegar, Black Treacle, Garlic Pur̩e, Smoked Paprika, Concentrated Lemon Juice, Tamarind, Onion Powder, Black Pepper, Garlic Powder, White Pepper, Pimento, Ginger, Paprika, Clove.Smoked Dry Cure Streaky Bacon contains: Pork Belly, Sea Salt, Sugar, Preservatives (Potassium Nitrate, Sodium Nitrite).","['cheese', 'potato', 'pork', 'milk', 'onion', 'wine', 'chicken', 'tomato']",8
"INGREDIENTS LIST:Beef (23%), WholeMilk, Cooked Egg Pasta, Water, Tomato, Whipping Cream (Milk), Tomato Pur̩e, Cornflour, Mature Cheddar Cheese (Milk), Onion, Red Wine, Garlic Pur̩e, Medium Fat Hard Cheese (Milk), Carrot,Celery, Medium Fat Soft Cheese (Milk), Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Salt, Butter (Milk), Beef Extract, Yeast Extract, Oregano, Marjoram, Black Pepper, Bay, White Pepper.Cooked Egg Pasta contains: DurumWheatSemolina, Water, PasteurisedEgg.","['cheese', 'egg', 'beef', 'milk', 'butter', 'onion', 'wine', 'tomato']",8
"INGREDIENTS LIST:Beef (23%), Cooked Egg Pasta, WholeMilk, Tomato, Water, Whipping Cream (Milk), Tomato Pur̩e, Cornflour, Mature Cheddar Cheese (Milk), Onion, Red Wine, Garlic Pur̩e, Medium Fat Hard Cheese (Milk), Carrot,Celery, Medium Fat Soft Cheese (Milk), Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Salt, Butter (Milk), Beef Extract, Yeast Extract, Oregano, Marjoram, Black Pepper, Bay, White Pepper.Cooked Egg Pasta contains: DurumWheatSemolina, Water, PasteurisedEgg.","['cheese', 'egg', 'beef', 'milk', 'butter', 'onion', 'wine', 'tomato']",8
"INGREDIENTS:Cooked Egg Fried Rice [Cooked Rice [Water, Long Grain Rice],SesameOil, Peas, PasteurisedEgg, Rapeseed Oil, Rice Vinegar, Ginger Pur̩e, Garlic Pur̩e, Water, Concentrated Lemon Juice, Sugar, White Pepper, Salt, Lemon Juice, Molasses,SoyaBean,Wheat, Alcohol], Chicken Breast (18%), Water, Sugar, Tomato Pur̩e, Pineapple (2.5%), Rice Vinegar, Cornflour, Onion, Green Pepper, Red Pepper, Carrot, Palm Oil,WheatFlour, Concentrated Pineapple Juice,SesameOil, Ginger Pur̩e, Potato Starch, Rapeseed Oil, White Wine Vinegar, Salt, Spirit Vinegar, Colour (Paprika Extract), Raising Agents (Disodium Phosphate, Sodium Bicarbonate), Molasses, Cinnamon Powder, Cayenne Pepper,SoyaBean,Wheat, Alcohol.","['peas', 'egg', 'potato', 'rice', 'onion', 'wine', 'chicken', 'tomato']",8
"INGREDIENTS LIST:Beef (23%), WholeMilk, Cooked Egg Pasta, Water, Tomato, Whipping Cream (Milk), Tomato Pur̩e, Cornflour, Mature Cheddar Cheese (Milk), Onion, Red Wine, Garlic Pur̩e, Carrot, Celery, Medium Fat Hard Cheese (Milk), Medium Fat Soft Cheese (Milk), Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Salt, Butter (Milk), Beef Extract, Yeast Extract, Oregano, Marjoram, Black Pepper, Bay, White Pepper.Cooked Egg Pasta contains: DurumWheatSemolina, Water, PasteurisedEgg.","['cheese', 'egg', 'beef', 'milk', 'butter', 'onion', 'wine', 'tomato']",8
"INGREDIENTS:Fresh Egg Pasta [WheatFlour, DurumWheatSemolina, PasteurisedEgg(9%), Water], Ricotta Full Fat Whey Cheese (Milk) (8%), Cooked Beef (7%), Tomato Pur̩e (4.5%),WheatFlour, Dried Potato, Onion, Sunflower Oil, Red Wine (2.5%), Chicory Fibre, Dried SkimmedMilk, Salt, Carrot,WheatFibre, Herbs [Oregano, Laurel, Thyme, Rosemary, Parsley, Sage], Garlic, Spices [Black Pepper, Juniper Berries], MaltedWheatFlour.","['cheese', 'egg', 'potato', 'wine', 'milk', 'onion', 'tomato', 'beef']",8
"INGREDIENTS:Mashed Potato [Potato, Single Cream (Milk), Butter (Milk), Salt, Pepper], Lamb (30%), Lamb Fat,WheatFlour, Onion, Red Wine, Water, Carrot, Lamb Extract,Celery, Leek, Cornflour, Tomato Pur̩e, Sugar, Rapeseed Oil, Salt, Garlic Pur̩e, Bread Crumb [WheatFlour, Water, Yeast, Salt], Glucose-Fructose Syrup, Caramelised Sugar, Redcurrant Juice, Spirit Vinegar, Parsley, Onion Extract, Rosemary, Molasses, Onion Pur̩e, Black Pepper, Tamarind Paste, Ginger Pur̩e, Thyme, Yeast, Olive Oil, Sea Salt, Caramel Syrup, Paprika, Preservative (Acetic Acid), Clove, Acidity Regulators (Citric Acid, Sodium Citrate), Garlic Extract, Gelling Agent (Pectin).Wheat Flour Contains: Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin.","['potato', 'bread', 'milk', 'butter', 'onion', 'wine', 'lamb', 'tomato']",8
"INGREDIENTS LIST:Mashed Potato (45%), Lamb Liver (21%), Water, Onion, Wheat Flour (WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin), Sweetcure Bacon (2.5%), Chicken Extract, Rapeseed Oil, Tomato Pur̩e, Cornflour, Muscovado Sugar, Caramelised Sugar, Gelling Agent (Pectin), Salt, Vegetable Juices (Carrot, Mushroom, Onion), BlackMustardSeed, Sugar, Spirit Vinegar, Thyme, White Pepper.Mashed Potato contains: Potato, WholeMilk, Butter (Milk), Salt, White Pepper.Sweetcure Bacon contains: Pork Belly, Water, Sugar, Invert Sugar Syrup, Salt, Honey, Antioxidant (Sodium Ascorbate), Preservative (Sodium Nitrite).","['potato', 'pork', 'butter', 'milk', 'onion', 'lamb', 'chicken', 'tomato']",8
"Wheat Flour [WheatFlour, Calcium Carbonate, Iron, Niacin, Thiamin], Parmesan and Procini Sauce [Milk, Whipping Cream (Milk), Water, Parmigiano Reggiano Cheese (Milk), Cornflour, Porcini Mushroom Powder, Sea Salt, Butter (Milk), Potato Starch, White Pepper], Mozzarella Full Fat Soft Cheese (Milk), Water, Italian Roasted Ham (8%) [Pork Leg, Salt, Dextrose, White Pepper, Garlic Powder, Onion Powder, Orange Juice Powder, Marsala Wine, Preservative (Potassium Nitrite), Antioxidant (Sodium Ascorbate)], Chestnut Mushroom (7%), Mascarpone Full Fat Soft Cheese (Milk) (6%), Rapeseed Oil, Semolina (Wheat), Tomato Paste, Parsley, Extra Virgin Olive Oil, Salt, Yeast, Lemon Juice, Garlic, Potato Starch, Low Sodium Sea Salt, Deactivated Yeast, Black Pepper, Thyme, Muscovado Sugar,WheatGluten","['cheese', 'potato', 'pork', 'milk', 'butter', 'onion', 'wine', 'tomato']",8
"Mashed Potato (49%), Pork Shoulder (15%), Tomato, Water, Cheddar Cheese (Milk), Muscovado Sugar, Tomato Pur̩e, Sugar, Honey, Cornflour, Red Wine Vinegar, Spirit Vinegar, Tomato Paste, Rapeseed Oil, Garlic Pur̩e, Salt, Pork Gelatine, Fructose, Demerara Sugar, Caramelised Sugar, Molasses, White Wine Vinegar,MustardFlour, Glucose Syrup, Black Pepper, Onion Powder, Onion Pur̩e, Tamarind Paste, Paprika,MustardBran, Smoked Salt, Smoked Paprika, Acidity Regulator (Acetic Acid, Malic Acid), Sea Salt, Ginger Pur̩e, Clove, Garlic Extract, Allspice,MustardPowder, White Pepper, Turmeric Powder, Cumin Powder, Cayenne Pepper, Pimento Powder, Clove Powder, Garlic Powder.Mashed Potato contains: Potato, SkimmedMilk,Milk, Butter (Milk), Salt, White Pepper.","['cheese', 'potato', 'pork', 'milk', 'butter', 'onion', 'wine', 'tomato']",8
